Property_Type,BHK,Location,Area,Status,Furnishing,Facing,Transaction,Price_Per_Sqft,Current_Floor,Total_Floors,Total_Price
Apartment,3,Nalagandla,1275,Ready to Move,Unfurnished,East,Resale,11780,9,26,15019500
Apartment,3,Puppalguda,1520,Ready to Move,Unfurnished,East,Resale,12184,24,33,18519680
Apartment,2,Narsingi,1285,Ready to Move,Semi-Furnished,East,Resale,9883,4,9,12699655
Villa,4,Kapra,3000,Ready to Move,Semi-Furnished,West,New Property,6250,,,18750000
Apartment,3,Phase 7 KPHB,1650,Ready to Move,Semi-Furnished,North - East,Resale,8788,4,5,14500200
Apartment,4,Kokapet,2800,Ready to Move,Unfurnished,East,Resale,14492,24,44,40577600
Apartment,4,Kokapet,5800,Ready to Move,Unfurnished,East,Resale,12790,10,28,74182000
Apartment,2,Sri Ram Nagar Kondapur,850,Ready to Move,Semi-Furnished,West,Resale,7217,1,4,6134450
Apartment,2,Bachupally,1110,Poss. by Dec '26,Unfurnished,East,New Property,8300,15,33,9213000
Apartment,3,Kokapet,2180,Ready to Move,Furnished,Unknown,Resale,11927,3,39,26000860
Villa,4,Tellapur,4200,Ready to Move,Furnished,West,Resale,24762,,,104000400
Apartment,3,Kokapet,2234,Ready to Move,Semi-Furnished,East,Resale,12975,20,32,28986150
Apartment,3,Tellapur,1335,Ready to Move,Unfurnished,East,Resale,11052,25,39,14754420
Apartment,3,Osman Sagar Road,2625,Ready to Move,Semi-Furnished,East,Resale,11810,3,9,31001250
Apartment,3,Uppal,1945,Ready to Move,Furnished,East,New Property,8745,10,15,17009025
Apartment,3,Appa Junction Area,1400,Ready to Move,Semi-Furnished,West,Resale,10000,16,19,14000000
Apartment,3,Gachibowli,1915,Ready to Move,Semi-Furnished,East,Resale,11000,11,19,21065000
Apartment,4,Hitech City,4070,Ready to Move,Semi-Furnished,East,Resale,22113,15,35,89999910
Apartment,3,Chanda Nagar,1825,Ready to Move,Semi-Furnished,East,Resale,9863,1,14,17999975
Apartment,3,Puppalguda,1982,Ready to Move,Unfurnished,West,Resale,13118,17,44,25999876
Apartment,3,Kakatiya Hills Kavuri Hills,1650,Ready to Move,Furnished,North,New Property,9000,3,5,14850000
Apartment,4,Puppalguda,4999,Poss. by Dec '26,Semi-Furnished,East,Resale,11982,35,43,59898018
Apartment,2,Kollur,1330,Ready to Move,Unfurnished,Unknown,Resale,7293,5,15,9699690
Apartment,3,Tellapur,1200,Poss. by Dec '29,Unfurnished,North - East,New Property,6471,10,17,7765200
Apartment,3,Osman Nagar,1792,Ready to Move,Unfurnished,East,Resale,9766,1,10,17500672
Apartment,4,Madhapur,2700,Ready to Move,Furnished,East,Resale,14451,6,14,39017700
Apartment,3,Gandi Maisamma,1750,Ready to Move,Unfurnished,West,Resale,6857,14,14,11999750
Apartment,3,Rajendranagar Mandal,1750,Poss. by Dec '27,Unfurnished,Unknown,Resale,10143,13,45,17750250
Villa,5,Jubilee Hills,5500,Ready to Move,Semi-Furnished,North,New Property,27809,,,152949500
Apartment,3,Tellapur,1720,Poss. by Sep '27,Unfurnished,Unknown,Resale,9884,14,40,17000480
Villa,4,Nalagandla,2724,Poss. by Dec '28,Unfurnished,East,New Property,5900,,,16071600
Apartment,2,Dammaiguda,1176,Ready to Move,Unfurnished,North,New Property,4252,3,5,5000352
Apartment,3,Moosapet,1640,Poss. by Mar '28,Unfurnished,North - East,New Property,5699,9,30,9346360
Apartment,3,Amberpet,1200,Ready to Move,Furnished,East,Resale,5846,1,5,7015200
Apartment,3,Kollur,1125,Ready to Move,Semi-Furnished,East,New Property,5599,5,10,6298875
Apartment,3,Puppalguda,1400,Ready to Move,Unfurnished,West,New Property,7014,4,5,9819600
Apartment,3,Moosapet,1480,Poss. by Jan '27,Unfurnished,East,New Property,10473,17,27,15500040
Villa,5,Kompally,4600,Ready to Move,Unfurnished,East,Resale,11957,,,55002200
Apartment,2,Narsingi,1314,Ready to Move,Semi-Furnished,West,Resale,12177,12,30,16000578
Apartment,3,Kokapet,2257,Poss. by Sep '26,Unfurnished,East,Resale,13292,27,35,30000044
Apartment,3,Miyapur,1008,Unknown,Unfurnished,East,New Property,5500,10,15,5544000
Apartment,3,Puppalguda,1228,Ready to Move,Unfurnished,West,Resale,11100,22,39,13630800
Apartment,3,Kondapur,1880,Ready to Move,Unfurnished,West,New Property,16489,14,20,30999320
Villa,4,Kondapur,4500,Ready to Move,Furnished,East,Resale,27885,,,125482500
Villa,3,Tellapur,3600,Ready to Move,Unfurnished,West,New Property,12639,,,45500400
Apartment,2,Miyapur,861,Ready to Move,Unfurnished,North,Resale,6736,6,14,5799696
House,4,Narsingi,8000,Ready to Move,Unfurnished,East,New Property,11700,,,93600000
Apartment,3,Kondapur,1500,Ready to Move,Unfurnished,East,New Property,9195,6,17,13792500
Apartment,2,Kondapur,1290,Ready to Move,Unfurnished,East,Resale,12016,22,24,15500640
Apartment,3,Hitech City,2795,Ready to Move,Furnished,East,Resale,11270,15,19,31499650
Villa,4,Muchintal,9000,Poss. by Sep '26,Semi-Furnished,East,New Property,10800,,,97200000
Apartment,2,Narsingi,1370,Ready to Move,Semi-Furnished,East,Resale,11971,24,39,16400270
Villa,2,Shankarpally Road,1000,Poss. by Sep '26,Unfurnished,East,New Property,11818,,,11818000
Apartment,3,Kokapet,2124,Ready to Move,Unfurnished,West,New Property,13418,28,35,28499832
Apartment,2,Ashok Nagar Himayatnagar,1100,Ready to Move,Semi-Furnished,South - East,Resale,6364,2,5,7000400
Villa,3,Mokila,2550,Ready to Move,Unfurnished,East,Resale,12745,,,32499750
Apartment,3,Umdanagar,2136,Poss. by Dec '27,Unfurnished,East,Resale,9597,21,42,20499192
Apartment,3,Banjara Hills,2500,Ready to Move,Furnished,East,Resale,16000,1,4,40000000
Apartment,2,Annojiguda,762,Unknown,Unfurnished,North - East,New Property,5425,5,9,4133850
Apartment,4,Kokapet,6333,Unknown,Unfurnished,West,Resale,13500,26,29,85495500
Villa,4,Hitech City,3000,Ready to Move,Unfurnished,East,New Property,28333,,,84999000
Apartment,2,Narsingi,1370,Ready to Move,Semi-Furnished,West,New Property,12409,8,40,17000330
Villa,6,Jonnabanda,4053,Ready to Move,Furnished,South,Resale,6168,,,24998904
House,4,Miyapur,3500,Ready to Move,Unfurnished,Unknown,Resale,6857,,,23999500
Apartment,2,Medipally,1090,Ready to Move,Furnished,North,Resale,4545,3,4,4954050
House,3,Jupiter Colony Karkhana,1250,Ready to Move,Unfurnished,East,Resale,26923,,,33653750
Apartment,3,Kondapur,1939,Ready to Move,Unfurnished,East,Resale,9386,5,5,18199454
House,10,Om Nagar Maruthi Nagar,7500,Ready to Move,Semi-Furnished,East,Resale,12750,,,95625000
House,2,Moula Ali,600,Ready to Move,Unfurnished,South -West,Resale,6963,,,4177800
Apartment,2,Kollur,1180,Ready to Move,Unfurnished,North,Resale,5986,2,2,7063480
Villa,2,Beeramguda Ramachandrapuram,1285,Ready to Move,Unfurnished,East,Resale,12333,,,15847905
Apartment,3,Nacharam,2000,Ready to Move,Semi-Furnished,East,Resale,6210,5,5,12420000
Apartment,3,Vanasthalipuram,1510,Ready to Move,Unfurnished,North,Resale,5625,1,5,8493750
Apartment,3,Malkajgiri,1750,Ready to Move,Furnished,North - East,Resale,7543,2,5,13200250
House,4,Paramount Hills,3000,Ready to Move,Semi-Furnished,North,Resale,11298,,,33894000
Apartment,3,Miyapur,1222,Ready to Move,Semi-Furnished,West,Resale,8054,6,10,9841988
Apartment,2,Praga Tools Colony,1000,Ready to Move,Furnished,North - East,Resale,5182,1,5,5182000
Builder Floor,3,APGOs Coop HSG Society,3215,Ready to Move,Semi-Furnished,East,Resale,10109,1,5,32500435
Apartment,3,Kukatpally,1213,Ready to Move,Unfurnished,North,Resale,8571,21,33,10396623
Apartment,3,Serilingampalle M,1220,Ready to Move,Unfurnished,West,New Property,9870,22,50,12041400
Apartment,3,Hitech City,2465,Ready to Move,Semi-Furnished,West,Resale,21712,39,39,53520080
Apartment,3,Hitech City,1058,Ready to Move,Furnished,East,Resale,10759,20,20,11383022
Apartment,3,Bairagiguda,1580,Ready to Move,Semi-Furnished,West,New Property,7342,3,5,11600360
Apartment,2,Appa Junction Area,1300,Ready to Move,Semi-Furnished,West,Resale,9643,14,20,12535900
Apartment,3,HUDA Layout Nalagandla,2000,Ready to Move,Semi-Furnished,West,Resale,11190,4,19,22380000
Apartment,3,Abhudaya Nagar Colony,1193,Ready to Move,Semi-Furnished,East,Resale,4923,4,5,5873139
Apartment,2,Nalagandla,1270,Ready to Move,Semi-Furnished,East,Resale,8425,8,10,10699750
Builder Floor,2,Nagaram,1000,Ready to Move,Semi-Furnished,North - East,Resale,3889,3,3,3889000
Apartment,3,Narsingi,1508,Ready to Move,Unfurnished,West,Resale,11000,9,40,16588000
House,2,Nadergul Road,1050,Ready to Move,Unfurnished,North,Resale,5763,,,6051150
Apartment,2,Kokapet,1000,Ready to Move,Unfurnished,East,New Property,8756,1,10,8756000
Builder Floor,2,Madhapur,1000,Ready to Move,Furnished,North - East,Resale,7959,3,5,7959000
Apartment,3,Whitefields,1775,Ready to Move,Furnished,West,Resale,7614,5,5,13514850
Villa,4,Brundavan Colony Bolarum,2200,Ready to Move,Unfurnished,West,New Property,9726,,,21397200
Apartment,4,Gachibowli,4490,Ready to Move,Furnished,North,Resale,17817,9,22,79998330
Villa,3,Mallampet Road,1550,Ready to Move,Unfurnished,West,New Property,12121,,,18787550
House,5,Attapur,4600,Ready to Move,Semi-Furnished,West,Resale,7585,3,3,34891000
Apartment,4,Malaysian Township,2600,Ready to Move,Furnished,North,Resale,12727,8,11,33090200
Villa,3,Tellapur,2101,Ready to Move,Unfurnished,Unknown,Resale,13089,,,27499989
Apartment,2,Manikonda Jagir,1100,Ready to Move,Furnished,West,Resale,7040,2,5,7744000
Apartment,3,Moti Nagar Erragadda,1135,Ready to Move,Semi-Furnished,West,Resale,8634,5,5,9799590
Apartment,2,Nagaram,800,Ready to Move,Unfurnished,West,Resale,3855,4,5,3084000
House,6,New Mirjalguda,2600,Ready to Move,Semi-Furnished,East,Resale,13333,,,34665800
Apartment,2,Sangeet Nagar Kukatpally,1149,Ready to Move,Furnished,North,Resale,8250,5,16,9479250
Apartment,3,Rock Town Colony,1850,Ready to Move,Unfurnished,East,Resale,5000,3,5,9250000
Apartment,2,Patancheruvu,685,Ready to Move,Semi-Furnished,East,Resale,5385,2,5,3688725
Apartment,2,Suraram,756,Ready to Move,Furnished,East,Resale,5926,2,5,4480056
Apartment,2,Bolarum,700,Ready to Move,Furnished,North - East,Resale,4267,2,2,2986900
Apartment,3,Ameerpet,1730,Ready to Move,Semi-Furnished,North - East,Resale,8785,6,7,15198050
Villa,3,Beeramguda Ramachandrapuram,1400,Ready to Move,Furnished,East,Resale,11611,,,16255400
Villa,6,Manikonda Jagir,5000,Ready to Move,Furnished,East,New Property,9300,,,46500000
Villa,3,Nizampet,2457,Ready to Move,Semi-Furnished,North - East,Resale,8954,,,21999978
Apartment,3,Gajularamaram,1565,Ready to Move,Furnished,West,Resale,5367,4,5,8399355
