Property_Type,BHK,Location,Area,Status,Furnishing,Facing,Transaction,Price_Per_Sqft,Current_Floor,Total_Floors,Total_Price
Apartment,2,Kondapur,840,Ready to Move,Semi-Furnished,West,Resale,6190,2,6,5199600
Apartment,3,Kondapur,1890,Ready to Move,Furnished,West,Resale,10184,18,19,19247760
Apartment,3,Kompally,1400,Ready to Move,Unfurnished,East,Resale,5842,4,5,8178800
Apartment,3,Financial District,1242,Ready to Move,Unfurnished,West,New Property,10505,40,40,13047210
Apartment,3,Kondapur,1800,Ready to Move,Unfurnished,West,Resale,10938,17,18,19688400
Villa,3,Beeramguda Ramachandrapuram,1600,Ready to Move,Furnished,West,Resale,9509,,,15214400
Apartment,3,Gachibowli,1406,Ready to Move,Unfurnished,West,Resale,11685,21,29,16429110
Apartment,2,Bachupally,1060,Ready to Move,Semi-Furnished,West,Resale,6132,5,5,6499920
Apartment,2,100 Feet Road,1265,Ready to Move,Furnished,North - East,Resale,8077,4,4,10217405
Apartment,2,Nalagandla,1250,Ready to Move,Unfurnished,West,Resale,10916,3,26,13645000
Villa,4,Manikonda Jagir,5000,Ready to Move,Furnished,West,Resale,11000,,,55000000
Apartment,2,Friends Colony Chanda Nagar,1070,Ready to Move,Furnished,East,Resale,7009,5,5,7499630
House,2,Jupiter Colony Karkhana,1150,Ready to Move,Semi-Furnished,West,Resale,34615,,,39807250
Apartment,3,R K Puram,1600,Ready to Move,Unfurnished,East,Resale,6748,4,5,10796800
Apartment,3,Kondapur,2700,Ready to Move,Semi-Furnished,East,Resale,14400,4,18,38880000
Apartment,3,Kondapur,1400,Ready to Move,Semi-Furnished,East,Resale,8688,1,6,12163200
House,3,Kapra,1650,Ready to Move,Semi-Furnished,West,Resale,10294,,,16985100
Apartment,2,Tellapur,900,Ready to Move,Furnished,East,Resale,9758,9,9,8782200
Apartment,2,Puppalguda,1250,Ready to Move,Furnished,West,Resale,9477,3,5,11846250
Apartment,2,Gachibowli,900,Ready to Move,Semi-Furnished,East,Resale,12953,4,24,11657700
Apartment,3,Financial District,2000,Ready to Move,Unfurnished,West,Resale,11036,35,39,22072000
Apartment,2,Miyapur,861,Ready to Move,Furnished,Unknown,Resale,8130,9,14,6999930
Apartment,2,Dammaiguda,1000,Ready to Move,Semi-Furnished,North,Resale,4729,1,3,4729000
Apartment,2,Ameenpur,1008,Ready to Move,Unfurnished,East,Resale,5820,3,5,5866560
Apartment,2,Renuka Yellamma Colony,850,Ready to Move,Furnished,East,Resale,6397,1,5,5437450
Villa,5,Neopolis,3500,Ready to Move,Furnished,East,Resale,43750,,,153125000
Apartment,2,Vinay Nagar,930,Ready to Move,Unfurnished,West,New Property,6637,2,5,6172410
Apartment,3,Serilingampalle M,1605,Ready to Move,Unfurnished,West,Resale,9346,25,50,15000330
Apartment,3,West Marredpally,1310,Ready to Move,Furnished,North - East,Resale,7037,4,4,9218470
Villa,4,BDL Colony Balapur,2700,Ready to Move,Furnished,East,Resale,6071,,,16391700
Apartment,2,Madeenaguda,1245,Ready to Move,Furnished,East,Resale,6154,5,5,7661730
Apartment,4,Gachibowli,2600,Ready to Move,Semi-Furnished,East,Resale,13269,24,34,34499400
Apartment,4,Banjara Hills,3000,Ready to Move,Semi-Furnished,North - East,Resale,11000,5,5,33000000
Apartment,2,Begumpet,1100,Ready to Move,Semi-Furnished,North,Resale,11382,5,5,12520200
Apartment,3,Attapur,1500,Ready to Move,Semi-Furnished,West,Resale,5329,1,4,7993500
Apartment,3,Nanakaramguda,1900,Ready to Move,Unfurnished,West,Resale,12985,20,44,24671500
Apartment,2,Nalagandla,1380,Ready to Move,Semi-Furnished,East,Resale,9000,4,14,12420000
Apartment,3,Financial District,2220,Ready to Move,Unfurnished,West,Resale,11667,20,39,25900740
Apartment,3,Gachibowli,1650,Ready to Move,Furnished,East,Resale,35000,5,6,57750000
Villa,3,Gopanpalle,3520,Ready to Move,Semi-Furnished,West,Resale,21053,,,74106560
Apartment,3,Kukatpally Housing Board Road,2259,Ready to Move,Furnished,West,Resale,11952,2,35,26999568
Villa,4,Kakatiya Hills Kavuri Hills,3800,Ready to Move,Semi-Furnished,East,Resale,21224,,,80651200
Apartment,3,Bandari Layout,1550,Ready to Move,Semi-Furnished,West,Resale,4194,3,4,6500700
Villa,3,Mallampet,2500,Ready to Move,Furnished,West,Resale,5926,,,14815000
Apartment,3,Kukatpally Housing Board Colony,1899,Ready to Move,Semi-Furnished,West,Resale,11585,4,34,21999915
Builder Floor,3,Dammaiguda,2400,Ready to Move,Furnished,East,Resale,7407,5,5,17776800
Apartment,3,Osman Nagar,1500,Ready to Move,Unfurnished,West,Resale,9470,4,10,14205000
Apartment,3,Nalagandla,1620,Ready to Move,Semi-Furnished,East,Resale,7990,5,5,12943800
Builder Floor,3,Manikonda Jagir,1800,Ready to Move,Semi-Furnished,North,Resale,7895,1,6,14211000
Apartment,2,Kukatpally,1116,Ready to Move,Furnished,West,Resale,6911,3,5,7712676
Apartment,3,Gachibowli,1800,Ready to Move,Furnished,East,Resale,8539,1,5,15370200
Villa,4,Yapral,1800,Ready to Move,Semi-Furnished,East,Resale,14713,,,26483400
Villa,4,Kompally,2700,Ready to Move,Unfurnished,East,New Property,10179,,,27483300
Villa,4,Gopanpally,5647,Ready to Move,Semi-Furnished,East,Resale,32459,,,183295973
Villa,5,Financial District,8500,Ready to Move,Furnished,South - East,Resale,46667,,,396669500
Apartment,2,Nizampet,1274,Ready to Move,Semi-Furnished,East,Resale,7300,2,10,9300200
Villa,4,Tellapur,3400,Ready to Move,Furnished,East,Resale,25000,,,85000000
Apartment,2,Tellapur,960,Ready to Move,Unfurnished,East,Resale,10815,22,30,10382400
Apartment,3,Defence Colony Sainikpuri,1310,Ready to Move,Furnished,East,Resale,5954,2,3,7799740
Apartment,4,Kompally,2676,Ready to Move,Semi-Furnished,North - East,Resale,6353,1,5,17000628
Apartment,3,Kondapur,2805,Ready to Move,Unfurnished,East,Resale,13999,3,20,39267195
Apartment,3,Gachibowli,2500,Ready to Move,Unfurnished,West,Resale,9302,6,15,23255000
Apartment,3,Miyapur,1830,Ready to Move,Furnished,East,Resale,6842,4,10,12520860
Builder Floor,2,Shamirpet,1090,Poss. by Oct '26,Unfurnished,East,Resale,5046,1,5,5500140
Apartment,2,Sainikpuri,600,Ready to Move,Unfurnished,West,Resale,5938,3,9,3562800
Apartment,3,Serilingampalle M,2100,Ready to Move,Unfurnished,East,Resale,10354,37,50,21743400
Apartment,3,Nanakaramguda,1660,Ready to Move,Unfurnished,West,Resale,10450,9,40,17347000
Apartment,3,Financial District,1900,Ready to Move,Unfurnished,East,Resale,12626,35,39,23989400
Apartment,3,Nanakaramguda,2020,Ready to Move,Unfurnished,North,New Property,12129,6,44,24500580
Apartment,4,Narsingi,3330,Poss. by Oct '26,Unfurnished,East,Resale,9459,25,45,31498470
Apartment,3,Kompally,2225,Ready to Move,Unfurnished,West,New Property,6292,7,14,13999700
Apartment,3,Tellapur,1573,Ready to Move,Unfurnished,West,Resale,11825,29,39,18600725
House,6,Dammaiguda,1700,Ready to Move,Semi-Furnished,East,Resale,9444,,,16054800
Apartment,3,Rajendranagar Mandal,1300,Ready to Move,Furnished,West,Resale,9509,1,10,12361700
Apartment,2,AS Rao Nagar,909,Ready to Move,Semi-Furnished,North,Resale,4800,3,5,4363200
Apartment,2,Gajularamaram,1051,Ready to Move,Unfurnished,West,Resale,5961,2,5,6265011
House,6,Avanti Nagar,3621,Ready to Move,Semi-Furnished,North - West,Resale,10145,,,36735045
Apartment,3,Chikoti Gardens,1850,Ready to Move,Semi-Furnished,East,Resale,11135,5,5,20599750
Apartment,3,Tellapur,1300,Ready to Move,Furnished,East,Resale,10000,5,17,13000000
Apartment,3,Kollur,1320,Ready to Move,Unfurnished,North,Resale,8621,7,15,11379720
Apartment,3,AGRL Colony,2000,Ready to Move,Semi-Furnished,East,Resale,5417,4,5,10834000
Apartment,3,Isnapur,990,Ready to Move,Unfurnished,East,Resale,4280,2,5,4237200
Apartment,2,Osman Nagar,1300,Ready to Move,Unfurnished,West,Resale,8922,3,22,11598600
Villa,4,Rampally,2300,Ready to Move,Unfurnished,East,Resale,6596,,,15170800
Apartment,2,Himayatnagar,990,Ready to Move,Unfurnished,North,Resale,11893,5,5,11774070
Apartment,3,Nizampet,1400,Ready to Move,Furnished,West,Resale,9102,11,13,12742800
Apartment,2,Pedda Amberpet,1150,Ready to Move,Furnished,East,Resale,4083,5,6,4695450
Apartment,3,Banjara Hills,1600,Ready to Move,Semi-Furnished,North - East,Resale,10398,3,4,16636800
Apartment,3,Suchitra Road,1900,Ready to Move,Furnished,West,Resale,11795,4,14,22410500
Apartment,3,Punjagutta,1300,Ready to Move,Semi-Furnished,North,Resale,6667,4,5,8667100
Apartment,3,Nalagandla,1700,Ready to Move,Semi-Furnished,West,Resale,7778,1,20,13222600
Builder Floor,3,Gachibowli,1500,Ready to Move,Semi-Furnished,North - East,Resale,9218,2,5,13827000
Villa,4,Beeramguda Ramachandrapuram,2800,Ready to Move,Furnished,West,New Property,6000,,,16800000
Builder Floor,3,Secunderabad,2000,Ready to Move,Semi-Furnished,North,Resale,5760,1,5,11520000
Apartment,3,Pragathi Nagar,1386,Ready to Move,Unfurnished,East,Resale,6774,8,8,9388764
House,2,SBH Colony LB Nagar,800,Ready to Move,Furnished,North,Resale,27778,,,22222400
House,8,DD Colony,4000,Ready to Move,Semi-Furnished,West,Resale,11400,,,45600000
Apartment,2,Singareni Colony,1050,Ready to Move,Unfurnished,West,Resale,4870,3,4,5113500
Apartment,3,Tellapur,1226,Ready to Move,Unfurnished,West,Resale,7581,3,12,9294306
Apartment,3,Gopanpalle,1800,Ready to Move,Semi-Furnished,East,Resale,11351,2,5,20431800
House,3,Narendra Nagar Colony,1500,Ready to Move,Furnished,West,Resale,10341,,,15511500
Apartment,2,Pragathi Nagar,1953,Ready to Move,Semi-Furnished,North - East,Resale,22449,3,3,43842897
Apartment,2,Manikonda Jagir,1250,Ready to Move,Semi-Furnished,West,Resale,10606,10,10,13257500
Apartment,2,Kondapur,990,Ready to Move,Semi-Furnished,East,New Property,6872,1,4,6803280
Apartment,2,Bachupally,685,Ready to Move,Unfurnished,West,Resale,7658,7,33,5245730
Apartment,2,Sainikpuri,900,Ready to Move,Semi-Furnished,East,Resale,5940,2,5,5346000
Apartment,2,Hema Nagar,1050,Ready to Move,Semi-Furnished,East,Resale,5364,5,5,5632200
Apartment,3,Malkajgiri,1450,Ready to Move,Semi-Furnished,East,Resale,7333,4,5,10632850
Apartment,2,Bandlaguda Jagir,1100,Ready to Move,Unfurnished,West,New Property,5769,5,5,6345900
Apartment,3,Miyapur,1312,Ready to Move,Furnished,North,Resale,9130,5,5,11978560
Villa,5,Shamshabad,5100,Ready to Move,Furnished,North - East,Resale,13462,,,68656200
Apartment,4,Kavadiguda,3700,Ready to Move,Furnished,West,Resale,16000,3,14,59200000
Apartment,3,IDA Uppal,1600,Ready to Move,Unfurnished,East,Resale,7239,5,5,11582400
Apartment,3,Serilingampalle M,1581,Ready to Move,Unfurnished,West,Resale,13369,14,34,21136389
House,3,Nagole,2000,Ready to Move,Furnished,South - East,Resale,10227,,,20454000
Apartment,3,Serilingampalle M,1800,Ready to Move,Unfurnished,West,New Property,11634,25,39,20941200
Apartment,3,Pragathi Nagar,998,Ready to Move,Semi-Furnished,West,Resale,9740,9,9,9720520
Apartment,3,ALIND Employees Colony,1460,Ready to Move,Unfurnished,East,Resale,7671,5,5,11199660
Apartment,2,Venkata Ramana Colony Banjara Hills,1000,Ready to Move,Semi-Furnished,East,Resale,10000,3,3,10000000
Apartment,3,Yapral Main Road,1000,Ready to Move,Unfurnished,East,Resale,4646,3,4,4646000
Apartment,2,Rajendranagar Mandal,1000,Ready to Move,Unfurnished,West,Resale,6299,3,5,6299000
Apartment,4,Manikonda Jagir,3300,Ready to Move,Semi-Furnished,East,Resale,12001,27,32,39603300
Apartment,3,Kompally,1400,Ready to Move,Semi-Furnished,North - East,Resale,9028,1,5,12639200
Apartment,3,Kakatiya Hills Kavuri Hills,1650,Ready to Move,Furnished,North - East,Resale,9383,3,5,15481950
Apartment,3,Hafeezpet,1540,Ready to Move,Furnished,East,Resale,10714,5,5,16499560
Apartment,3,Balanagar,2155,Poss. by Sep '26,Unfurnished,West,Resale,8585,7,16,18500675
Villa,4,Kokapet,5200,Ready to Move,Semi-Furnished,East,Resale,25926,,,134815200
Apartment,3,Gachibowli,1886,Ready to Move,Semi-Furnished,Unknown,Resale,9544,6,18,17999984
Apartment,4,Kokapet,2100,Poss. by Dec '28,Unfurnished,East,New Property,11891,5,13,24971100
Apartment,3,Manchirevula,3080,Poss. by Jul '29,Unfurnished,West,Resale,7500,24,55,23100000
Apartment,3,Kollur,1855,Ready to Move,Unfurnished,East,Resale,6469,11,21,11999995
Apartment,2,Narsingi,1325,Ready to Move,Unfurnished,West,Resale,9811,6,14,12999575
Apartment,2,Kondapur,1295,Ready to Move,Furnished,West,Resale,14286,7,19,18500370
Apartment,2,TNGOS Colony,1100,Ready to Move,Semi-Furnished,East,Resale,10980,14,17,12078000
Apartment,3,Narsingi,2020,Ready to Move,Unfurnished,East,Resale,11881,31,40,23999620
Apartment,3,Nanakaramguda,2290,Poss. by Jul '28,Unfurnished,West,Resale,8200,20,40,18778000
Apartment,2,Kondapur,1225,Ready to Move,Unfurnished,East,New Property,8980,8,16,11000500
Apartment,3,Nanakaramguda,1600,Ready to Move,Furnished,East,Resale,10345,8,14,16552000
Villa,6,Velmala,4800,Poss. by Jan '27,Unfurnished,East,New Property,21000,,,100800000
Villa,4,Tellapur,3100,Poss. by Dec '26,Unfurnished,East,New Property,5625,,,17437500
Apartment,2,Nalagandla,1250,Ready to Move,Semi-Furnished,East,Resale,9921,6,14,12401250
Apartment,3,Hitech City,1600,Ready to Move,Furnished,North,Resale,11250,24,31,18000000
Apartment,3,Rajendranagar Mandal,2049,Poss. by Dec '26,Unfurnished,East,Resale,10005,8,42,20500245
Apartment,3,Narsingi,1386,Ready to Move,Unfurnished,East,Resale,9505,9,35,13173930
Villa,4,Kollur,3600,Ready to Move,Unfurnished,West,New Property,14167,,,51001200
Apartment,3,Nanakaramguda,1670,Ready to Move,Unfurnished,East,New Property,12994,20,44,21699980
Apartment,2,Adarsh Nagar Uppal,750,Ready to Move,Semi-Furnished,East,Resale,6667,1,9,5000250
Apartment,3,Yapral,1500,Ready to Move,Semi-Furnished,Unknown,Resale,7333,1,5,10999500
Apartment,2,Gowdavalli,1020,Ready to Move,Unfurnished,West,New Property,4706,3,5,4800120
Villa,3,Tukkuguda,2560,Ready to Move,Unfurnished,North - West,Resale,7500,,,19200000
Apartment,3,Tellapur,1578,Ready to Move,Unfurnished,East,Resale,10021,27,40,15813138
Villa,3,Secunderabad,1940,Ready to Move,Furnished,West,Resale,11667,,,22633980
Villa,4,Yapral,3800,Ready to Move,Furnished,North - West,Resale,11842,,,44999600
Villa,3,Bachupally,1850,Ready to Move,Semi-Furnished,West,Resale,9730,,,18000500
Apartment,3,Gandipet,1550,Ready to Move,Unfurnished,East,Resale,11170,1,10,17313500
Apartment,4,Sanjeeva Reddy Nagar,3600,Ready to Move,Semi-Furnished,West,Resale,11111,3,4,39999600
Apartment,3,Kollur,1620,Poss. by Sep '26,Unknown,East,Resale,7022,7,14,11375640
Apartment,3,Puppalguda,1500,Ready to Move,Unfurnished,North,Resale,12558,12,32,18837000
House,4,Gundlapochampally,2590,Ready to Move,Semi-Furnished,East,Resale,13514,,,35001260
Apartment,3,Tellapur,2208,Ready to Move,Unfurnished,West,Resale,11775,26,32,25999200
Apartment,2,Kollur,891,Poss. by Dec '27,Unfurnished,East,New Property,7042,6,32,6274422
Apartment,3,Jeedimetla,1650,Ready to Move,Furnished,East,Resale,7758,3,9,12800700
Apartment,3,Kokapet,1810,Ready to Move,Unfurnished,East,Resale,11602,16,19,20999620
Villa,4,Bhanur,2500,Ready to Move,Unfurnished,West,New Property,7480,,,18700000
Apartment,2,Kollur,1250,Ready to Move,Unfurnished,West,Resale,6640,15,17,8300000
Apartment,3,Financial District,1160,Ready to Move,Unfurnished,East,Resale,12036,4,44,13961760
Apartment,3,Kollur,2165,Poss. by Dec '26,Unfurnished,East,Resale,8314,5,15,17999810
Apartment,2,Kokapet,1048,Ready to Move,Unfurnished,East,Resale,10305,7,9,10799640
Apartment,3,Hafeezpet,1050,Ready to Move,Furnished,West,Resale,8054,1,14,8456700
Villa,4,Tukkuguda,4240,Poss. by Dec '26,Unfurnished,East,New Property,8844,,,37498560
Apartment,2,Serilingampalle M,1138,Ready to Move,Unfurnished,East,New Property,9821,17,50,11176298
Apartment,2,Madeenaguda,1100,Ready to Move,Semi-Furnished,East,Resale,7273,3,5,8000300
Apartment,3,Phase 4 KPHB,1860,Ready to Move,Furnished,East,New Property,15054,20,32,28000440
Apartment,3,Narsingi,2020,Ready to Move,Unfurnished,West,Resale,11634,7,39,23500680
Apartment,2,Kompally,1334,Ready to Move,Unfurnished,East,Resale,7121,8,11,9499414
Apartment,3,Manikonda Jagir,2100,Ready to Move,Semi-Furnished,East,Resale,10455,15,15,21955500
Apartment,2,Kukatpally,1135,Ready to Move,Semi-Furnished,West,Resale,7445,12,18,8450075
Apartment,3,Serilingampalle M,2540,Ready to Move,Unfurnished,East,Resale,10630,7,50,27000200
Apartment,3,Bachupally,1353,Ready to Move,Unfurnished,East,Resale,8130,22,33,10999890
Apartment,3,Velmala,1835,Poss. by Dec '26,Unfurnished,West,Resale,6267,6,17,11499945
Apartment,3,Miyapur,1225,Ready to Move,Semi-Furnished,North,Resale,8100,5,5,9922500
Villa,5,Rameshwar Banda,4173,Poss. by Jan '27,Unfurnished,North - West,Resale,6590,,,27500070
Villa,3,Mayuri Nagar Bachupally,2400,Ready to Move,Semi-Furnished,West,Resale,12901,,,30962400
Apartment,4,Kokapet,2530,Poss. by Oct '26,Unfurnished,West,New Property,11300,16,35,28589000
Apartment,3,Narsingi,1700,Ready to Move,Furnished,East,Resale,11176,8,12,18999200
Apartment,3,Bachupally,1635,Ready to Move,Unfurnished,West,Resale,5443,4,5,8899305
Apartment,3,Kukatpally,1350,Ready to Move,Semi-Furnished,North,Resale,9038,13,17,12201300
House,4,Jubilee Hills,6500,Poss. by Jun '27,Unfurnished,East,Resale,17500,,,113750000
Apartment,3,Miyapur,1880,Ready to Move,Unfurnished,West,Resale,9043,6,35,17000840
Villa,4,Patancheru Shankarpalli Road,3413,Ready to Move,Unfurnished,North - East,Resale,7032,,,24000216
Apartment,3,Hitech City,2500,Ready to Move,Furnished,East,Resale,13770,2,9,34425000
Apartment,3,Kokapet,1860,Poss. by Sep '26,Unfurnished,West,Resale,11000,9,9,20460000
Apartment,3,HMT Colony Miyapur,639,Ready to Move,Furnished,East,Resale,9625,8,12,6150375
Apartment,3,Hyder Shah Kote,1600,Ready to Move,Furnished,West,Resale,5128,4,5,8204800
Apartment,3,Kondapur,1190,Ready to Move,Furnished,East,Resale,10087,3,5,12003530
House,2,Bharat Nagar Kowkoor,2400,Ready to Move,Furnished,South,Resale,7500,,,18000000
Apartment,2,Hyder Nagar,1345,Ready to Move,Unfurnished,West,New Property,9294,10,14,12500430
Villa,5,Tellapur,4225,Poss. by Mar '27,Unfurnished,East,Resale,19172,,,81001700
Apartment,4,Kondapur,2300,Poss. by May '28,Unfurnished,Unknown,Resale,10141,21,47,23324300
Apartment,3,Balanagar,1700,Ready to Move,Unfurnished,East,Resale,9118,6,16,15500600
Apartment,3,Punjagutta Officers Colony,2000,Ready to Move,Furnished,West,Resale,9000,2,3,18000000
Villa,4,Bhanur,2700,Poss. by Jul '27,Furnished,East,Resale,6667,,,18000900
Apartment,3,Rajendranagar Mandal,1898,Poss. by Dec '27,Unfurnished,Unknown,Resale,9484,13,41,18000632
House,3,APHB Colony Moula Ali,3200,Ready to Move,Semi-Furnished,North - East,Resale,9250,,,29600000
House,10,Manikonda Jagir,7000,Ready to Move,Furnished,East,Resale,9286,1,5,65002000
Apartment,3,Hafeezpet,1425,Poss. by Sep '26,Unfurnished,East,Resale,8772,5,14,12500100
Apartment,2,Narsingi,1375,Ready to Move,Unfurnished,East,Resale,7273,4,5,10000375
Apartment,3,Kondapur,2225,Ready to Move,Semi-Furnished,East,Resale,11461,3,9,25500725
Apartment,2,Lingampally Road,790,Ready to Move,Unfurnished,West,Resale,6235,2,4,4925650
Apartment,3,Shaikpet,1875,Ready to Move,Semi-Furnished,Unknown,Resale,9600,8,22,18000000
Villa,4,Gandipet,2800,Ready to Move,Unfurnished,East,New Property,15000,,,42000000
Villa,4,Mokila,3200,Ready to Move,Unfurnished,West,New Property,12993,,,41577600
Villa,4,Gachibowli,4000,Ready to Move,Unfurnished,West,Resale,22241,,,88964000
Apartment,3,Narsingi,2180,Ready to Move,Furnished,East,Resale,11927,2,2,26000860
Apartment,3,Pocharam,1455,Ready to Move,Unfurnished,Unknown,Resale,3986,4,4,5799630
House,4,Sainathapuram,2000,Ready to Move,Unfurnished,East,Resale,6227,,,12454000
Apartment,4,Manikonda Jagir,3141,Ready to Move,Furnished,East,Resale,12289,31,38,38599749
Apartment,3,Narepally,1535,Ready to Move,Unfurnished,East,New Property,5200,3,5,7982000
Apartment,3,Miyapur,1880,Ready to Move,Unfurnished,East,New Property,9574,29,35,17999120
Apartment,3,Jubilee Hills,2400,Ready to Move,Unfurnished,West,New Property,14898,5,5,35755200
Apartment,3,Kondapur,1400,Ready to Move,Semi-Furnished,East,New Property,8125,4,5,11375000
Villa,4,Puppalguda,5500,Ready to Move,Furnished,West,Resale,43636,,,239998000
Villa,5,Gopanpally,4500,Ready to Move,Unfurnished,West,Resale,19316,,,86922000
Apartment,4,Hitech City,4070,Ready to Move,Furnished,West,Resale,28501,22,35,115999070
Apartment,2,Gachibowli,1068,Ready to Move,Semi-Furnished,East,Resale,7397,1,10,7899996
Apartment,4,Puppalguda,5085,Poss. by Mar '29,Unfurnished,East,New Property,9833,15,60,50000805
Villa,4,Hill County,3100,Ready to Move,Semi-Furnished,North,Resale,21774,,,67499400
Apartment,4,Jubilee Hills,6358,Ready to Move,Unfurnished,North,Resale,20447,6,11,130002026
Villa,4,Gandi Maisamma,2280,Ready to Move,Semi-Furnished,East,New Property,8000,,,18240000
Apartment,3,Kowkoor,1690,Ready to Move,Semi-Furnished,North,Resale,7101,3,5,12000690
House,4,Dundigal,3839,Ready to Move,Unfurnished,West,New Property,6500,,,24953500
Apartment,1,Miyapur,607,Ready to Move,Unfurnished,Unknown,Resale,6096,6,14,3700272
Apartment,3,Himayatnagar,1100,Ready to Move,Unfurnished,North - East,New Property,9500,6,7,10450000
Apartment,3,Shivrampalli Village,890,Ready to Move,Semi-Furnished,East,Resale,9074,7,10,8075860
Villa,3,Tukkuguda,2400,Ready to Move,Unfurnished,West,Resale,10298,,,24715200
Apartment,4,Hitech City,2700,Ready to Move,Semi-Furnished,West,Resale,24570,18,35,66339000
Apartment,2,Tellapur,1000,Ready to Move,Unfurnished,East,New Property,7500,2,5,7500000
Villa,4,Pedda Amberpet,2700,Poss. by Dec '26,Unfurnished,West,Resale,10103,,,27278100
Apartment,3,Nalagandla,1710,Ready to Move,Unfurnished,East,Resale,12398,20,26,21200580
House,4,Jubilee Hills,5999,Ready to Move,Furnished,North - West,New Property,108333,,,649889667
Apartment,3,Izzathnagar,2200,Ready to Move,Unfurnished,Unknown,New Property,15000,35,40,33000000
Apartment,3,Osman Nagar,1836,Ready to Move,Unfurnished,Unknown,Resale,9477,9,22,17399772
Villa,4,Kompally,3500,Ready to Move,Unfurnished,West,New Property,8999,,,31496500
Apartment,3,Rajendranagar Mandal,1026,Poss. by Mar '29,Unfurnished,East,New Property,6260,12,40,6422760
Apartment,3,Shivam Road,1460,Ready to Move,Unfurnished,North,New Property,9247,3,5,13500620
Apartment,3,Old MLA Quarters,1600,Poss. by Dec '26,Unfurnished,East,Resale,9500,3,5,15200000
Apartment,3,Nanakaramguda,2160,Ready to Move,Semi-Furnished,East,Resale,12037,21,26,25999920
Villa,3,Gangaram Maheshwaram,2250,Ready to Move,Furnished,West,New Property,6760,,,15210000
Villa,4,Kollur,3360,Poss. by Nov '26,Unfurnished,West,New Property,9479,,,31849440
Apartment,4,Manikonda Jagir,3150,Ready to Move,Semi-Furnished,Unknown,Resale,11111,5,36,34999650
Apartment,2,Pocharam,950,Ready to Move,Unfurnished,East,New Property,4778,3,5,4539100
Villa,3,Satamrai,1900,Ready to Move,Unfurnished,East,New Property,13873,,,26358700
Apartment,3,Thumkunta,1485,Ready to Move,Semi-Furnished,East,Resale,4680,4,5,6949800
Apartment,2,Somajiguda,1280,Ready to Move,Semi-Furnished,West,Resale,6094,4,6,7800320
Villa,3,Patancheruvu,2100,Poss. by Sep '26,Unfurnished,East,New Property,6667,,,14000700
Villa,3,Gopanpalle,2927,Ready to Move,Semi-Furnished,East,Resale,17424,,,51000048
Apartment,2,Adibatla,1110,Ready to Move,Semi-Furnished,Unknown,Resale,3333,5,8,3699630
House,4,Ameenpur,1600,Ready to Move,Unfurnished,East,Resale,5135,,,8216000
Villa,3,Gundlapochampally,2280,Ready to Move,Furnished,East,Resale,8772,,,20000160
Apartment,3,Venkat Nagar Banjara Hills,2753,Ready to Move,Semi-Furnished,East,Resale,15256,2,2,41999768
Apartment,3,Tellapur,2650,Ready to Move,Unfurnished,West,Resale,9811,5,39,25999150
Apartment,2,Tellapur,1265,Ready to Move,Semi-Furnished,East,Resale,10672,3,14,13500080
Apartment,2,Narsingi,1200,Ready to Move,Unfurnished,Unknown,Resale,5833,4,5,6999600
Apartment,2,Ameenpur Road,1085,Ready to Move,Unfurnished,Unknown,Resale,5346,2,5,5800410
Apartment,3,Kondapur,2445,Ready to Move,Semi-Furnished,West,New Property,11452,18,35,28000140
Apartment,3,Kothaguda,2100,Ready to Move,Semi-Furnished,West,Resale,10357,7,7,21749700
Apartment,4,Basheer Bagh,2900,Ready to Move,Unfurnished,East,Resale,6552,5,5,19000800
Apartment,3,Masjid Banda,1810,Ready to Move,Semi-Furnished,East,Resale,8661,10,27,15676410
Apartment,2,Kondapur,899,Ready to Move,Semi-Furnished,East,Resale,14341,7,25,12892559
Apartment,3,Suchitra Road,2057,Ready to Move,Semi-Furnished,West,Resale,6050,10,12,12444850
Apartment,3,Miyapur,1940,Poss. by Oct '26,Unfurnished,West,Resale,8505,26,46,16499700
Apartment,3,Osman Nagar,2280,Ready to Move,Unfurnished,West,Resale,7456,10,15,16999680
Apartment,2,Puppalguda,902,Poss. by Oct '26,Unfurnished,East,New Property,10646,27,36,9602692
Apartment,3,Bachupally,930,Ready to Move,Unfurnished,East,Resale,8130,9,40,7560900
Apartment,2,Serilingampalle M,1537,Ready to Move,Unfurnished,West,Resale,9434,15,50,14500058
Apartment,3,Alwal,1545,Poss. by Sep '26,Unfurnished,East,Resale,4515,3,5,6975675
Apartment,3,Kondapur,2550,Ready to Move,Unfurnished,West,Resale,10588,2,19,26999400
Apartment,3,Kukatpally,1661,Poss. by Sep '26,Unfurnished,North - East,Resale,8429,32,33,14000569
Apartment,3,Puppalguda,1905,Unknown,Unfurnished,East,Resale,12000,34,36,22860000
Apartment,3,Puppalguda,1128,Ready to Move,Unfurnished,West,Resale,12722,22,32,14350416
Apartment,2,Hyder Nagar,1345,Ready to Move,Unfurnished,West,Resale,10037,10,14,13499765
Villa,4,Tellapur,3005,Ready to Move,Unfurnished,East,Resale,12646,,,38001230
Apartment,3,LB Nagar,1535,Ready to Move,Unfurnished,East,Resale,7166,5,13,10999810
Apartment,3,Puppalguda,1520,Ready to Move,Unfurnished,East,Resale,13292,15,32,20203840
Apartment,2,Alkapur Township,1446,Ready to Move,Unfurnished,West,Resale,7953,12,16,11500038
